doe_building_type,confidence,justification,key
MidriseApartment,0.8,Apartments are residential midrise or highrise buildings.,apartments
OutPatient,0.9,"Otologist is a medical specialty, best categorized under OutPatient.",otologist
FullServiceRestaurant,0.9,Nicaraguan restaurant is a full service dining establishment.,nicaraguan_restaurant
OtherCommercial,0.7,Rock climbing spot is a recreational facility.,rock_climbing_spot
SmallOffice,0.9,"Coworking spaces are office environments, best categorized as SmallOffice.",coworking_space
FullServiceRestaurant,0.8,Swiss restaurant is a full service restaurant.,swiss_restaurant
OtherCommercial,0.6,"Boating places are recreational or commercial outdoor facilities, best categorized as OtherCommercial.",boating_places
OtherCommercial,0.9,"Day spa is a commercial service related to personal care, best categorized as OtherCommercial.",day_spa
SmallOffice,0.7,"Kitchen remodeling is a service business, best as small office.",kitchen_remodeling
OutPatient,0.9,"Oral surgeon is a medical specialty, outpatient clinic.",oral_surgeon
OtherCommercial,0.7,"Urban farm is a commercial agricultural activity, not fitting traditional building types, so OtherCommercial.",urban_farm
StandaloneRetail,0.8,Cosmetic and beauty supplies is retail.,cosmetic_and_beauty_supplies
StandaloneRetail,0.8,Ski and snowboard shops are retail stores selling sporting goods.,ski_and_snowboard_shop
OtherCommercial,0.5,"Fort is a historic or military structure, no DOE match.",fort
SecondarySchool,0.95,High school directly maps to SecondarySchool.,high_school
OutPatient,0.9,Sperm clinic is a medical outpatient facility.,sperm_clinic
FullServiceRestaurant,0.9,Live and raw food restaurant fits the full service restaurant category due to sit-down dining and food preparation.,live_and_raw_food_restaurant
StripMall,0.8,Thrift stores are often located in strip malls or retail centers.,thrift_store
SmallOffice,0.8,Movie and television studios often operate in office-like environments with production spaces.,movie_television_studio
SmallOffice,0.8,HVAC supplier is a commercial office-type business likely operating in a small office setting.,hvac_supplier
OtherIndustrial,0.85,Hybrid car repair is an industrial/repair service.,hybrid_car_repair
OtherIndustrial,0.9,Jewelry and watches manufacturing is an industrial process.,jewelry_and_watches_manufacturer
StripMall,0.7,"Public market is a retail space with multiple vendors, similar to strip mall.",public_market
QuickServiceRestaurant,0.7,"Gelato is a food service, likely quick service.",gelato
OtherCommercial,0.7,Boat service and repair is a commercial service facility.,boat_service_and_repair
OtherCommercial,0.5,"Hiking trail is an outdoor feature, no building type.",hiking_trail
OtherCommercial,0.75,Sports and fitness instruction is a commercial recreational service.,sports_and_fitness_instruction
FullServiceRestaurant,0.9,Chilean restaurant is a full-service restaurant.,chilean_restaurant
OtherCommercial,0.8,"Laboratories are specialized commercial or institutional facilities, best categorized as OtherCommercial.",laboratory
SmallOffice,0.85,Investment management companies typically operate in small office settings.,investment_management_company
StandaloneRetail,0.7,Kiosk is a small retail outlet.,kiosk
SmallOffice,0.7,Weather forecast services are office-based professional services.,weather_forecast_services
OutPatient,0.9,Diagnostic imaging is a medical service typically provided in outpatient facilities.,diagnostic_imaging
OutPatient,0.9,Dental hygienist services are outpatient medical.,dental_hygienist
StripMall,0.85,Department store often located in malls or strip malls.,department_store
FullServiceRestaurant,0.9,A Costa Rican restaurant is a full-service restaurant.,costa_rican_restaurant
QuickServiceRestaurant,0.9,Taco restaurant is typically quick service.,taco_restaurant
SmallOffice,0.8,Event technology service is likely an office-based business providing technical support and services.,event_technology_service
SmallOffice,0.9,"Patent law is a legal office service, typically small office.",patent_law
OtherCommercial,0.75,"Adventure sports center is a recreational facility, categorized as OtherCommercial.",adventure_sports_center
OtherCommercial,0.6,A fair is a temporary event and does not fit standard building types; OtherCommercial is the closest.,fair
OtherCommercial,0.75,Cultural center is a commercial space not fitting other categories.,cultural_center
OtherIndustrial,0.85,Metals processing or manufacturing fits OtherIndustrial.,metals
OtherCommercial,0.7,"Mosques are religious facilities, which do not have a direct DOE type, so OtherCommercial is closest.",mosque
FullServiceRestaurant,0.7,Rest stops often include full-service restaurants.,rest_stop
OtherCommercial,0.7,"Town car service is a transportation service, best categorized as OtherCommercial.",town_car_service
QuickServiceRestaurant,0.95,"A chimney cake shop is a food service establishment focused on quick service and takeaway, aligning with the QuickServiceRestaurant category.",chimney_cake_shop
SmallOffice,0.8,marketing_consultant is a professional office.,marketing_consultant
OtherCommercial,0.5,"A park is an outdoor public space, not fitting typical DOE building types.",park
OutPatient,0.8,Medical cannabis referral is a healthcare-related outpatient service.,medical_cannabis_referral
SmallOffice,0.7,Business to business services typically operate in small office buildings.,business_to_business_services
OtherCommercial,0.8,Cabinet sales and service is a commercial retail or service activity.,cabinet_sales_service
OtherCommercial,0.6,Party character is a service without a clear DOE building type.,party_character
SmallOffice,0.75,Tattoo services are personal services typically in small office or studio settings.,tattoo
OtherCommercial,0.6,"Carpet installation is a service business, assigned OtherCommercial.",carpet_installation
OtherCommercial,0.8,"A sauna is a commercial wellness facility, typically not fitting into other specific DOE categories.",sauna
OtherCommercial,0.7,Pedicab service is a transportation-related commercial activity without a dedicated DOE type.,pedicab_service
OtherIndustrial,0.8,Car window tinting is an industrial or service activity.,car_window_tinting
OtherCommercial,0.7,"Veterans organization is a community service organization, fitting OtherCommercial.",veterans_organization
SmallOffice,0.7,"Permanent makeup is a personal service, fitting small office.",permanent_makeup
SmallOffice,0.6,Embroidery and crochet is a small business likely operating in a small office or commercial space.,embroidery_and_crochet
StandaloneRetail,0.8,Bookstore is a retail establishment.,bookstore
OtherCommercial,0.6,Luggage storage is a commercial service without a specific DOE building type.,luggage_storage
StandaloneRetail,0.8,Hair supply stores are retail stores.,hair_supply_stores
OtherCommercial,0.7,"Concert venues are entertainment facilities, best categorized as OtherCommercial.",topic_concert_venue
OtherCommercial,0.7,Pool hall is a recreational commercial facility.,pool_hall
FullServiceRestaurant,0.9,Dominican restaurant is a full-service restaurant.,dominican_restaurant
OtherCommercial,0.7,"Comedy clubs are entertainment venues, generally categorized as OtherCommercial.",comedy_club
OtherIndustrial,0.75,"Furniture assembly is an industrial activity, fitting OtherIndustrial.",furniture_assembly
FullServiceRestaurant,0.85,A Jewish restaurant is a full-service restaurant.,jewish_restaurant
FullServiceRestaurant,0.9,Korean restaurant implies sit-down dining with full service.,korean_restaurant
OtherCommercial,0.7,"Turkish baths are commercial wellness facilities, no direct DOE type; OtherCommercial.",turkish_baths
OtherCommercial,0.6,"Quay is a dock or wharf, not a building type but commercial infrastructure.",quay
StandaloneRetail,0.7,Coin dealers operate retail businesses selling coins.,coin_dealers
OtherCommercial,0.7,Football stadium is a large commercial recreational facility without a specific DOE type.,football_stadium
MediumOffice,0.85,Health insurance offices are usually medium-sized office buildings.,health_insurance_office
OtherIndustrial,0.8,B2B food products manufacturing or distribution fits OtherIndustrial.,b2b_food_products
SmallOffice,0.85,"Escrow services are office-based financial/legal services, fitting SmallOffice.",escrow_services
SmallOffice,0.85,"Data recovery is an office-based technical service, likely small office.",data_recovery
OtherCommercial,0.7,Cleaning services are commercial services not fitting other categories.,cleaning_services
StandaloneRetail,0.8,Battery store is a retail outlet selling batteries.,battery_store
OtherIndustrial,0.6,Heliports are specialized industrial/transport facilities.,heliports
OtherCommercial,0.7,"Private jet charters are specialized commercial services, not fitting other categories.",private_jet_charters
OtherCommercial,0.8,"Atelier is a workshop or studio, typically commercial but not fitting other specific categories.",atelier
OtherCommercial,0.6,Wine tours are commercial services without a specific DOE building type.,wine_tours
SmallOffice,0.75,Vacation rental agents operate in small office environments.,vacation_rental_agents
FullServiceRestaurant,0.9,Singaporean restaurants generally provide full-service dining.,singaporean_restaurant
OtherIndustrial,0.85,Water purification services involve industrial processes.,water_purification_services
StandaloneRetail,0.8,Eyewear and optician services are retail and service oriented.,eyewear_and_optician
OutPatient,0.85,Alcohol and drug treatment centers are outpatient medical facilities.,alcohol_and_drug_treatment_center
OutPatient,0.9,Urgent care clinic is a medical outpatient facility.,urgent_care_clinic
OutPatient,0.9,Clinical laboratories provide outpatient medical testing services.,clinical_laboratories
OtherIndustrial,0.8,Energy equipment and solution activities align with industrial functions.,energy_equipment_and_solution
MediumOffice,0.7,"A student union is typically an office or administrative building on campus, fitting MediumOffice best.",student_union
OutPatient,0.85,Physical therapy is an outpatient medical service.,physical_therapy
StandaloneRetail,0.9,Clothing stores are retail establishments.,clothing_store
OtherIndustrial,0.85,Blacksmiths are industrial or craft manufacturing.,blacksmiths
SmallOffice,0.8,Fingerprinting services are typically small office operations providing specialized services.,fingerprinting_service
OtherIndustrial,0.8,Road contractors operate in industrial or commercial service sectors.,road_contractor
FullServiceRestaurant,0.9,Catalan restaurant is a full-service dining establishment.,catalan_restaurant
StandaloneRetail,0.8,Dairy stores are retail outlets selling dairy products.,dairy_stores
OtherIndustrial,0.9,Oil refiners are industrial facilities involved in processing petroleum products.,oil_refiners
OtherCommercial,0.7,Handyman services are commercial but do not fit other specific categories.,handyman
SmallOffice,0.7,Bathtub and sink repairs are a service likely provided by small offices or service shops.,bathtub_and_sink_repairs
SuperMarket,0.95,Supermarket directly maps to DOE SuperMarket building type.,supermarket
OtherCommercial,0.7,Axe throwing is a recreational activity not specifically categorized.,axe_throwing
OtherIndustrial,0.8,Back shop likely refers to a production or repair facility.,back_shop
OutPatient,0.85,Endocrinologists provide outpatient medical services.,endocrinologist
FullServiceRestaurant,0.9,"Dinner theater combines dining and entertainment, fitting full service restaurant.",dinner_theater
FullServiceRestaurant,0.9,Noodles restaurant is a full-service dining establishment.,noodles_restaurant
SuperMarket,0.95,Grocery store corresponds to supermarket building type.,grocery_store
OtherCommercial,0.6,Trivia host is an event service without a specific DOE type; OtherCommercial fits.,trivia_host
SmallOffice,0.9,Acoustical consultant is a professional service typically housed in small office spaces.,acoustical_consultant
OtherCommercial,0.6,"Surfing is an activity, no direct building type; assigned to other commercial.",surfing
Warehouse,0.8,Fitness equipment wholesaler likely uses warehouse space.,fitness_equipment_wholesaler
StandaloneRetail,0.8,"A pawn shop is a retail establishment selling goods, fitting StandaloneRetail.",pawn_shop
OtherCommercial,0.7,"Hair removal is a personal care service typically in commercial retail spaces, categorized as OtherCommercial.",hair_removal
